# Author: Rob Graves
# Date: Wed Feb 09 12:45:58 PST 2011
#
# 3D Models:
# 	CVM-S4 (version4.0-IO_patch)
# 	CVM-H11.1.0 (vx_lite)
#
# Data fields are TAB-separated, <-99999> indicates no valid data
#
# Column 1: Station Name
# Column 2: Station ID  No.
# Column 3: Owner
# Column 4: Station Latitude
# Column 5: Station Longitude
# Column 6: CVM-S4 Minimum depth (in meters) to Vs=1000 m/s
# Column 7: CVM-S4 Maximum depth (in meters) to Vs=1000 m/s
# Column 8: CVM-S4 Minimum depth (in meters) to Vs=2500 m/s
# Column 9: CVM-S4 Maximum depth (in meters) to Vs=2500 m/s
# Column 10: CVM-H11.1.0 Minimum depth (in meters) to Vs=1000 m/s
# Column 11: CVM-H11.1.0 Maximum depth (in meters) to Vs=1000 m/s
# Column 12: CVM-H11.1.0 Minimum depth (in meters) to Vs=2500 m/s
# Column 13: CVM-H11.1.0 Maximum depth (in meters) to Vs=2500 m/s
#
ALP (temp)	4	USGS	36.0109	-120.253	-99999	-99999	-99999	-99999	60	60	300	300
Anticline Ridge - Palmer Ave	46T05	CDMG	36.21	-120.305	-99999	-99999	-99999	-99999	60	60	240	240
Anticline Ridge Free-Field	1607	USGS	36.233	-120.333	-99999	-99999	-99999	-99999	60	60	240	240
Burnett Construction	1606	USGS	36.138	-120.357	-99999	-99999	-99999	-99999	60	60	240	240
Coalinga-14th & Elm (Old CHP)	46617	CDMG	36.151	-120.353	-99999	-99999	-99999	-99999	60	60	240	240
Harris Ranch - Hdqtrs (temp)	46T07	CDMG	36.343	-120.216	-99999	-99999	-99999	-99999	60	60	240	240
LLN (temp)	5	USGS	36.2108	-120.263	-99999	-99999	-99999	-99999	60	60	240	240
MIT (temp)	6	USGS	36.2467	-120.263	-99999	-99999	-99999	-99999	60	60	240	240
Oil City	1604	USGS	36.229	-120.36	-99999	-99999	-99999	-99999	60	60	240	240
Oil Fields - Skunk Hollow	46T06	CDMG	36.282	-120.305	-99999	-99999	-99999	-99999	60	60	240	240
Oil Fields Fire Station	1608	USGS	36.247	-120.314	-99999	-99999	-99999	-99999	60	60	240	240
Palmer Ave	1609	USGS	36.209	-120.292	-99999	-99999	-99999	-99999	60	60	240	240
SGT (temp)	7	USGS	36.2367	-120.381	-99999	-99999	-99999	-99999	60	60	240	240
SUB (temp)	8	USGS	36.3075	-120.251	-99999	-99999	-99999	-99999	60	60	240	240
Skunk Hollow	1605	USGS	36.275	-120.306	-99999	-99999	-99999	-99999	60	60	240	240
Sulphur Baths (temp)	47T03	CDMG	36.121	-120.397	-99999	-99999	-99999	-99999	60	60	240	240
TRA (temp)	9	USGS	36.1657	-120.309	-99999	-99999	-99999	-99999	60	60	240	240
VEW (temp)	10	USGS	36.2108	-120.313	-99999	-99999	-99999	-99999	60	60	240	240
YUB (temp)	11	USGS	36.1447	-120.171	-99999	-99999	-99999	-99999	60	60	240	240
Transmitter Hill	1651	USGS	36.249	-120.343	-99999	-99999	-99999	-99999	60	60	240	240
Anza - Red Mountain	5224	USGS	33.64	-116.86	-99999	-99999	-99999	-99999	40	40	200	200
Anza - Tule Canyon	5231	USGS	33.4593	-116.644	-99999	-99999	-99999	-99999	40	40	280	280
Cabazon	5073	USGS	33.918	-116.782	-99999	-99999	-99999	-99999	60	60	280	280
Colton Interchange - Vault	754	CDOT	34.06	-117.3	320	320	1660	1660	80	80	360	360
Cranston Forest Station	5157	USGS	33.738	-116.838	-99999	-99999	-99999	-99999	60	60	240	240
Desert Hot Springs	12149	CDMG	33.962	-116.509	340	340	340	340	60	60	320	320
Fun Valley	5069	USGS	33.925	-116.389	140	140	140	140	60	60	320	320
Hesperia	23321	CDMG	34.448	-117.327	-99999	-99999	-99999	-99999	60	60	220	220
Hurkey Creek Park	5043	USGS	33.6758	-116.68	-99999	-99999	-99999	-99999	60	60	220	220
Indio	5067	USGS	33.747	-116.214	1520	1520	1520	1520	760	760	1460	1460
Indio - Coachella Canal	12026	CDMG	33.717	-116.155	1160	1160	1160	1160	880	880	1880	1880
Joshua Tree	22170	CDMG	34.13	-116.314	-99999	-99999	-99999	-99999	60	60	320	320
Lake Mathews Dike Toe	707	USGS	33.852	-117.451	-99999	-99999	-99999	-99999	40	40	240	240
Landers Fire Station	22T13	CDMG	34.274	-116.392	-99999	-99999	-99999	-99999	60	60	300	300
Morongo Valley	5071	USGS	34.049	-116.578	20	20	20	20	60	60	320	320
Murrieta Hot Springs	13198	CDMG	33.599	-117.132	-99999	-99999	-99999	-99999	40	40	220	220
North Palm Springs	5070	USGS	33.924	-116.543	840	840	840	840	60	60	320	320
Palm Springs Airport	12025	CDMG	33.829	-116.512	380	380	380	380	80	80	280	280
Puerta La Cruz	12168	CDMG	33.324	-116.683	-99999	-99999	-99999	-99999	60	60	300	300
Rancho Cucamonga - FF	23497	CDMG	34.104	-117.574	320	320	400	400	60	60	280	280
Riverside Airport	13123	CDMG	33.951	-117.446	320	320	320	320	60	60	240	240
San Jacinto - Soboba	12204	CDMG	33.797	-116.88	-99999	-99999	-99999	-99999	60	60	340	340
San Jacinto - Valley Cemetary	12202	CDMG	33.76	-116.96	-99999	-99999	-99999	-99999	60	60	340	340
Santa Rosa Mountain	5230	USGS	33.568	-116.51	20	20	20	20	40	40	240	240
Silent Valley - Poppet Flat	12206	CDMG	33.851	-116.852	-99999	-99999	-99999	-99999	40	40	600	800
Sunnymead	5038	USGS	33.946	-117.151	-99999	-99999	-99999	-99999	80	80	300	300
Temecula - 6th & Mercedes	13172	CDMG	33.496	-117.149	-99999	-99999	-99999	-99999	60	60	220	220
Whitewater Trout Farm	5072	USGS	33.99	-116.656	100	100	100	100	60	60	280	280
Winchester Bergman Ran	13199	CDMG	33.64	-117.094	-99999	-99999	-99999	-99999	40	40	200	200
Winchester Page Bros R	13201	CDMG	33.718	-117.022	-99999	-99999	-99999	-99999	60	60	260	260
Alhambra - Fremont School	24461	CDMG	34.07	-118.15	320	320	2900	2900	1500	1500	1700	3700
Altadena - Eaton Canyon	24402	CDMG	34.177	-118.096	320	320	320	320	80	80	720	720
Anaheim - W Ball Rd	90088	USC	33.817	-117.951	620	620	2880	2880	1200	1200	5100	5100
Arcadia - Campus Dr	90093	USC	34.13	-118.036	320	320	2020	2020	800	800	1800	1800
Arleta - Nordhoff Fire Sta	24087	CDMG	34.236	-118.439	360	360	2160	3200	820	820	4420	4420
Baldwin Park - N Holly	90069	USC	34.1	-117.974	380	380	2840	2840	240	240	2780	2780
Bell Gardens - Jaboneria	90094	USC	33.965	-118.158	780	780	4920	4920	800	800	4700	4700
Beverly Hills - 12520 Mulhol	90014	USC	34.127	-118.405	100	100	320	5160	180	880	1280	1280
Beverly Hills - 14145 Mulhol	90013	USC	34.132	-118.439	40	100	1000	1000	900	900	1500	1500
"Big Tujunga, Angeles Nat F"	90061	USC	34.286	-118.225	40	40	320	320	40	40	260	260
Brea - S Flower Av	90087	USC	33.916	-117.896	520	520	3200	3200	1060	1060	3660	3660
Brea Dam (Downstream)	951	USGS	33.89	-117.927	580	580	3180	3180	1040	1040	3640	3640
Brea Dam (L Abut)	951	USGS	33.8904	-117.9258	580	580	3160	3160	1040	1040	3640	3640
Burbank - N Buena Vista	90012	USC	34.168	-118.331	320	320	1000	1000	840	840	2440	2440
Calabasas - N Las Virg	90052	USC	34.15	-118.696	100	100	2620	2620	960	960	3860	3860
Canoga Park - Topanga Can	90053	USC	34.212	-118.606	380	380	2760	2760	1020	1020	4320	4320
Canyon Country - W Lost Cany	90057	USC	34.419	-118.426	320	320	1760	1760	940	940	4840	4840
Carson - Catskill Ave	90040	USC	33.812	-118.27	420	420	4260	4260	1680	1680	2680	2680
Carson - Water St	90081	USC	33.836	-118.24	520	520	3220	5160	960	960	3660	3660
Castaic - Hasley Canyon	24277	CDMG	34.459	-118.65	320	320	2660	2660	780	780	3280	3280
Compton - Castlegate St	90078	USC	33.899	-118.196	840	840	5640	5640	980	980	2980	2980
Covina - S Grand Ave	90068	USC	34.078	-117.871	320	320	1620	1620	820	820	1420	1420
Covina - W Badillo	90070	USC	34.087	-117.915	320	320	2440	2440	320	320	2500	2500
Downey - Birchdale	90079	USC	33.92	-118.137	840	840	5500	5500	1100	1100	3100	5400
Downey - Co Maint Bldg	14368	CDMG	33.924	-118.167	880	880	6000	6000	1300	1300	4400	4400
El Monte - Fairview Av	90066	USC	34.093	-118.019	380	380	3040	3040	460	460	2960	2960
Featherly Park - Maint	13122	CDMG	33.869	-117.709	-99999	-99999	-99999	-99999	800	800	2600	2600
